id	Y1	Y2	Y3	Y4	q	baanduur	SBIgroep	w
1	1	1	1	1	1	1	1	29
2	1	1	1	1	1	1	2	1
3	1	1	1	1	1	2	1	144
4	1	1	1	1	1	2	2	9
5	1	1	1	1	2	1	1	34
6	1	1	1	1	2	1	2	2
7	1	1	1	1	2	2	1	191
8	1	1	1	1	2	2	2	5
9	1	1	1	2	1	1	1	1
10	1	1	1	2	1	2	1	8
11	1	1	1	2	2	1	1	3
12	1	1	1	2	2	2	1	12
13	1	1	1	3	1	1	1	1
14	1	1	1	3	1	1	2	1
15	1	1	1	3	1	2	1	9
16	1	1	1	3	2	1	1	2
17	1	1	1	3	2	2	1	10
18	1	1	2	1	1	1	1	1
19	1	1	2	1	1	2	1	9
20	1	1	2	1	2	1	1	2
21	1	1	2	1	2	1	2	1
22	1	1	2	1	2	2	1	10
23	1	1	2	1	2	2	2	1
24	1	1	2	2	1	2	1	1
25	1	1	2	2	2	1	1	1
26	1	1	2	3	1	1	1	1
27	1	1	3	1	1	1	1	5
28	1	1	3	1	1	2	1	5
29	1	1	3	1	1	2	2	1
30	1	1	3	1	2	1	1	4
31	1	1	3	1	2	1	2	1
32	1	1	3	3	1	1	1	1
33	1	1	3	3	1	2	1	1
34	1	1	3	3	1	2	2	1
35	1	1	3	3	2	2	1	1
36	1	2	1	1	1	1	1	4
37	1	2	1	1	1	2	1	5
38	1	2	1	1	2	1	1	4
39	1	2	1	1	2	1	2	1
40	1	2	1	1	2	2	1	10
41	1	2	1	2	1	1	1	1
42	1	2	1	2	1	2	1	1
43	1	2	1	2	2	2	1	1
44	1	2	1	3	1	2	1	1
45	1	2	1	3	2	2	1	1
46	1	2	2	1	2	1	1	2
47	1	2	2	2	1	1	1	6
48	1	2	2	2	1	2	1	1
49	1	2	2	2	2	1	1	3
50	1	2	2	2	2	2	1	1
51	1	2	2	3	2	2	1	1
52	1	3	1	1	1	1	1	4
53	1	3	1	1	1	1	2	1
54	1	3	1	1	1	2	1	6
55	1	3	1	1	2	1	1	2
56	1	3	1	1	2	2	1	2
57	1	3	1	2	2	1	2	1
58	1	3	1	2	2	2	1	2
59	1	3	1	3	1	2	2	1
60	1	3	1	3	2	2	1	1
61	1	3	2	2	2	2	1	1
62	1	3	3	1	1	1	1	2
63	1	3	3	1	2	1	1	3
64	1	3	3	1	2	1	2	1
65	1	3	3	3	1	1	2	1
66	1	3	3	3	1	2	1	1
67	1	3	3	3	1	2	2	1
68	1	3	3	3	2	1	1	1
69	1	3	3	3	2	1	2	2
70	2	1	1	1	1	1	1	1
71	2	1	1	1	1	1	2	1
72	2	1	1	1	1	2	1	8
73	2	1	1	1	2	1	1	3
74	2	1	1	1	2	2	1	10
75	2	1	1	2	2	1	1	1
76	2	1	1	3	2	1	1	1
77	2	1	1	3	2	2	1	1
78	2	1	2	2	1	1	1	4
79	2	1	2	2	2	1	1	3
80	2	1	3	1	1	2	1	2
81	2	1	3	2	1	2	1	1
82	2	2	1	1	1	1	1	2
83	2	2	1	2	1	1	1	3
84	2	2	1	2	2	1	1	5
85	2	2	2	1	1	1	1	3
86	2	2	2	1	2	1	1	5
87	2	2	2	1	2	2	1	1
88	2	2	2	2	1	1	1	69
89	2	2	2	2	1	2	1	5
90	2	2	2	2	2	1	1	77
91	2	2	2	2	2	1	2	1
92	2	2	2	2	2	2	1	1
93	2	2	2	3	1	1	1	6
94	2	2	2	3	2	1	1	5
95	2	2	2	3	2	2	1	1
96	2	2	3	2	1	1	1	3
97	2	2	3	2	2	1	1	6
98	2	2	3	2	2	2	1	1
99	2	3	1	1	2	1	2	1
100	2	3	1	2	1	1	1	1
101	2	3	1	2	2	1	1	1
102	2	3	2	1	2	1	1	1
103	2	3	2	2	1	1	1	8
104	2	3	2	2	2	1	1	5
105	2	3	2	3	2	1	1	1
106	2	3	3	2	1	1	1	1
107	2	3	3	2	2	1	1	1
108	2	3	3	3	1	1	1	1
109	2	3	3	3	1	2	1	1
110	2	3	3	3	2	1	1	1
111	3	1	1	1	1	1	1	3
112	3	1	1	1	1	2	1	4
113	3	1	1	1	2	1	1	4
114	3	1	1	1	2	2	1	12
115	3	1	1	2	1	1	1	1
116	3	1	1	2	2	2	1	1
117	3	1	1	3	2	2	1	2
118	3	1	2	1	2	1	1	2
119	3	1	2	1	2	2	1	1
120	3	1	2	3	2	2	1	1
121	3	1	3	1	2	1	2	1
122	3	1	3	2	2	1	1	1
123	3	1	3	2	2	1	2	1
124	3	1	3	3	1	1	1	1
125	3	1	3	3	1	2	1	1
126	3	1	3	3	2	1	1	1
127	3	1	3	3	2	2	2	1
128	3	2	1	2	1	2	1	1
129	3	2	1	2	2	2	1	1
130	3	2	2	1	2	1	1	1
131	3	2	2	2	1	1	1	6
132	3	2	2	2	2	1	1	5
133	3	2	2	3	1	1	1	1
134	3	2	3	1	1	1	1	1
135	3	2	3	1	2	1	1	1
136	3	2	3	2	2	1	1	1
137	3	2	3	3	2	1	1	1
138	3	2	3	3	2	1	2	1
139	3	3	1	1	1	1	1	1
140	3	3	1	1	2	1	1	1
141	3	3	1	3	1	1	1	1
142	3	3	1	3	1	2	2	1
143	3	3	1	3	2	2	1	1
144	3	3	2	3	1	1	2	1
145	3	3	2	3	2	1	1	1
146	3	3	2	3	2	1	2	1
147	3	3	3	1	1	2	1	1
148	3	3	3	1	2	1	1	1
149	3	3	3	1	2	1	2	2
150	3	3	3	2	1	1	1	1
151	3	3	3	2	1	1	2	1
152	3	3	3	2	1	2	1	1
153	3	3	3	2	2	1	1	2
154	3	3	3	3	1	1	1	25
155	3	3	3	3	1	1	2	13
156	3	3	3	3	1	2	1	2
157	3	3	3	3	1	2	2	1
158	3	3	3	3	2	1	1	25
159	3	3	3	3	2	1	2	17
160	3	3	3	3	2	2	1	3
161	3	3	3	3	2	2	2	1
